lmin,lmax,const,const_err,log_t,log_t_err
-7.416544,-5.845885,0.197535,0.000287,-0.491773,0.000045
-7.688662,-5.353463,0.237503,0.000258,-0.486072,0.000042
-6.663885,-5.229955,0.308627,0.000158,-0.473913,0.000027
-7.889405,-5.440701,0.218580,0.000288,-0.489110,0.000046
-7.353095,-4.591319,0.315620,0.000126,-0.473401,0.000023
-6.622844,-5.478689,0.297006,0.000192,-0.475790,0.000032
-6.154550,-4.837600,0.369242,0.000110,-0.463172,0.000021
-6.179989,-5.408698,0.318874,0.000254,-0.471903,0.000044
-7.193057,-4.289186,0.312794,0.000078,-0.473758,0.000015
-7.660651,-5.648481,0.211080,0.000331,-0.490009,0.000052
-7.182040,-5.405190,0.264583,0.000185,-0.481362,0.000030
-6.995689,-5.373683,0.277563,0.000162,-0.479165,0.000027
-6.869373,-5.335398,0.288142,0.000173,-0.477399,0.000029
-7.241017,-5.875056,0.209748,0.000225,-0.489769,0.000035
-7.672850,-4.742541,0.302218,0.000185,-0.475931,0.000033
-7.470826,-4.434852,0.308740,0.000109,-0.474670,0.000020
-7.686740,-5.021916,0.277703,0.000233,-0.479854,0.000040
-6.685514,-5.313052,0.300483,0.000171,-0.475267,0.000029
-7.985574,-5.329215,0.226710,0.000276,-0.487968,0.000045
-6.530243,-4.855245,0.349371,0.000126,-0.466961,0.000023
-6.154121,-4.716539,0.364775,0.000092,-0.463974,0.000017
-6.592108,-4.719666,0.347972,0.000102,-0.467249,0.000019
-7.166719,-5.960729,0.208068,0.000194,-0.489952,0.000030
-7.231629,-5.742174,0.232228,0.000266,-0.486372,0.000042
-6.464574,-4.374517,0.327548,0.000090,-0.470827,0.000018
-7.476121,-4.845726,0.304889,0.000189,-0.475287,0.000033
-7.948683,-4.062160,0.294846,0.000082,-0.477392,0.000016
-7.732839,-5.799523,0.182508,0.000331,-0.494277,0.000051
-7.635211,-5.638413,0.214212,0.000328,-0.489518,0.000052
-7.998436,-5.406295,0.216556,0.000280,-0.489495,0.000045
-6.511313,-5.345635,0.305602,0.000177,-0.474317,0.000030
-6.734677,-5.319166,0.297195,0.000171,-0.475837,0.000029
-7.093112,-4.986743,0.313588,0.000170,-0.473447,0.000030
-7.566912,-5.535894,0.229858,0.000294,-0.487106,0.000047
-7.082607,-4.118671,0.310943,0.000062,-0.474027,0.000012
-6.447602,-5.762931,0.282892,0.000423,-0.477970,0.000070
-6.248332,-4.619565,0.351376,0.000102,-0.466443,0.000019
-7.774319,-5.876164,0.167608,0.000320,-0.496473,0.000049
-6.521673,-4.923553,0.346686,0.000140,-0.467415,0.000025
-7.845219,-5.278303,0.238771,0.000265,-0.486029,0.000043
-6.527526,-5.763801,0.278288,0.000362,-0.478739,0.000059
-6.169306,-4.139389,0.315994,0.000081,-0.472966,0.000017
-6.864905,-4.053657,0.311245,0.000058,-0.473903,0.000012
-7.222162,-4.647034,0.322333,0.000124,-0.472144,0.000023
-6.592000,-5.247101,0.311223,0.000157,-0.473429,0.000027
-7.337917,-5.399685,0.253970,0.000215,-0.483179,0.000035
-7.883903,-5.431703,0.219383,0.000285,-0.488986,0.000046
-6.479610,-5.902707,0.237842,0.000315,-0.485195,0.000051
-6.281196,-4.144691,0.316513,0.000078,-0.472857,0.000016
-6.408141,-4.727248,0.354760,0.000100,-0.465939,0.000019
