lmin,lmax,const,const_err,log_t,log_t_err
-3.643546,-0.496828,2.046735,0.000020,-0.377787,0.000013
-4.392066,-2.247961,2.091748,0.000063,-0.359940,0.000021
-4.990972,-2.240626,2.096722,0.000065,-0.358143,0.000021
-3.083775,-0.921013,2.053402,0.000020,-0.375407,0.000012
-3.214583,-2.433723,2.068447,0.000095,-0.368622,0.000034
-3.378739,-0.278217,2.043876,0.000013,-0.379800,0.000010
-2.885479,-2.487742,2.078262,0.000127,-0.364790,0.000047
-4.894827,-1.686830,2.081985,0.000049,-0.362563,0.000018
-5.397490,-0.549369,2.053525,0.000030,-0.372535,0.000017
-3.677285,-1.821492,2.076055,0.000042,-0.365516,0.000016
-3.510106,-2.724544,2.095365,0.000228,-0.359365,0.000074
-3.079757,-1.766118,2.067102,0.000042,-0.369395,0.000018
-3.316426,-2.270963,2.075380,0.000062,-0.366140,0.000023
-4.074241,-1.630277,2.075445,0.000037,-0.365417,0.000015
-3.490221,-2.511766,2.082754,0.000139,-0.363381,0.000047
-5.369558,-1.920093,2.091678,0.000056,-0.359344,0.000019
-3.977552,-1.665007,2.074741,0.000038,-0.365752,0.000015
-4.352188,-2.083984,2.088468,0.000052,-0.360953,0.000018
-4.825812,-1.735063,2.082452,0.000051,-0.362465,0.000019
-2.856228,-0.895479,2.051629,0.000021,-0.376520,0.000013
-4.194413,-1.838398,2.080875,0.000043,-0.363497,0.000016
-3.569426,-2.273009,2.083139,0.000077,-0.363144,0.000027
-3.640348,-1.824786,2.075897,0.000042,-0.365596,0.000017
-4.662830,-2.144367,2.092225,0.000058,-0.359612,0.000019
-3.392160,-2.713981,2.083463,0.000230,-0.363399,0.000076
-4.351320,-0.211562,2.045723,0.000017,-0.377290,0.000012
-3.153081,-2.074774,2.074986,0.000045,-0.366365,0.000018
-4.614444,-2.602894,2.102405,0.000095,-0.356800,0.000028
-3.235837,-0.559957,2.045631,0.000020,-0.379094,0.000013
-3.597053,-0.331223,2.045279,0.000016,-0.378620,0.000011
-5.306014,-2.743081,2.113718,0.000085,-0.353560,0.000024
-5.044317,-2.469175,2.101893,0.000082,-0.356717,0.000025
-5.154221,-0.982997,2.065458,0.000035,-0.368010,0.000017
-3.258848,-0.845622,2.052880,0.000020,-0.375443,0.000012
-3.173157,-2.589439,2.059199,0.000141,-0.371837,0.000049
-3.172332,-2.714404,2.057026,0.000243,-0.372565,0.000083
-4.845780,-2.743660,2.110226,0.000090,-0.354628,0.000026
-3.615500,-0.622886,2.048922,0.000023,-0.376750,0.000014
-4.940690,-2.089051,2.093243,0.000056,-0.359152,0.000019
-4.906411,-0.118388,2.046066,0.000017,-0.376462,0.000012
-3.645190,-2.337250,2.084440,0.000083,-0.362683,0.000029
-4.314394,-2.240325,2.090724,0.000062,-0.360306,0.000021
-4.590586,-0.822814,2.059210,0.000029,-0.370945,0.000015
-4.463555,-1.143078,2.065890,0.000035,-0.368463,0.000016
-3.936570,-2.419109,2.087659,0.000081,-0.361548,0.000027
-4.367059,-0.997416,2.062546,0.000030,-0.369848,0.000015
-3.655257,-0.989894,2.058510,0.000025,-0.372316,0.000013
-3.892973,-2.546408,2.089360,0.000105,-0.361065,0.000034
-4.679622,-0.341484,2.048515,0.000021,-0.375487,0.000014
-3.468075,-1.402540,2.065727,0.000033,-0.369599,0.000015
