lmin,lmax,const,const_err,log_t,log_t_err
-4.073158,-2.036310,1.210707,0.000041,-0.437243,0.000015
-4.103568,-2.761679,1.250939,0.000086,-0.425383,0.000026
-6.531715,-2.767465,1.263313,0.000039,-0.421535,0.000010
-6.380543,-2.202460,1.236217,0.000050,-0.428082,0.000015
-6.970794,-2.155045,1.235789,0.000047,-0.428082,0.000014
-5.492698,-3.096401,1.275536,0.000040,-0.418673,0.000010
-4.399820,-3.880219,1.243625,0.000190,-0.426161,0.000046
-6.963652,-2.680503,1.259937,0.000039,-0.422321,0.000010
-4.610034,-1.091081,1.211774,0.000018,-0.436730,0.000009
-5.949127,-2.344567,1.240786,0.000056,-0.427039,0.000017
-6.960861,-2.409935,1.246484,0.000051,-0.425460,0.000015
-4.393030,-2.846709,1.261356,0.000073,-0.422357,0.000021
-6.706600,-2.620308,1.257193,0.000043,-0.422951,0.000012
-6.980771,-2.263800,1.239772,0.000050,-0.427086,0.000015
-5.873518,-1.156725,1.218117,0.000020,-0.433672,0.000009
-6.483475,-2.507741,1.251525,0.000049,-0.424289,0.000014
-5.437548,-2.020186,1.226756,0.000043,-0.431004,0.000014
-5.136880,-2.872775,1.267584,0.000049,-0.420549,0.000013
-6.413352,-2.140246,1.234223,0.000048,-0.428586,0.000015
-5.045297,-3.151967,1.278925,0.000049,-0.417787,0.000013
-6.308121,-1.974388,1.229696,0.000040,-0.429810,0.000013
-6.429879,-2.015682,1.230947,0.000042,-0.429441,0.000014
-4.044144,-3.381015,1.312510,0.000107,-0.408654,0.000029
-4.673386,-2.271502,1.226884,0.000061,-0.431573,0.000020
-4.798389,-1.913866,1.221041,0.000037,-0.433128,0.000013
-6.912961,-3.344007,1.271434,0.000048,-0.419790,0.000011
-4.533698,-2.864061,1.264986,0.000067,-0.421308,0.000019
-4.235764,-2.307780,1.219790,0.000065,-0.434217,0.000021
-6.685956,-2.004712,1.231213,0.000041,-0.429315,0.000013
-6.895701,-3.927699,1.260364,0.000047,-0.421966,0.000010
-4.375019,-1.487293,1.222950,0.000021,-0.432913,0.000009
-4.492465,-1.211117,1.214923,0.000019,-0.435673,0.000009
-4.236692,-1.539950,1.222608,0.000023,-0.433126,0.000009
-4.433788,-2.065863,1.217321,0.000045,-0.434683,0.000016
-4.326014,-2.131053,1.216322,0.000050,-0.435132,0.000017
-5.091997,-3.536816,1.273420,0.000067,-0.419042,0.000016
-6.709565,-2.574481,1.255017,0.000045,-0.423458,0.000012
-5.850979,-3.121285,1.274986,0.000037,-0.418840,0.000009
-4.122258,-3.008278,1.274017,0.000089,-0.418997,0.000026
-6.258656,-3.983458,1.264121,0.000049,-0.421150,0.000010
-4.749993,-3.648374,1.274208,0.000100,-0.418748,0.000024
-5.575685,-3.619695,1.268908,0.000055,-0.420102,0.000013
-4.315652,-2.532376,1.237411,0.000070,-0.429019,0.000022
-4.514566,-2.161115,1.220385,0.000053,-0.433650,0.000018
-6.684520,-2.918359,1.268249,0.000033,-0.420450,0.000009
-5.252130,-3.403579,1.278186,0.000060,-0.417995,0.000015
-4.902648,-2.678373,1.256251,0.000058,-0.423449,0.000017
-4.834496,-2.505815,1.243940,0.000063,-0.426727,0.000019
-4.580860,-3.884946,1.264251,0.000188,-0.421088,0.000045
-4.032238,-1.754097,1.217041,0.000030,-0.435199,0.000012
