lmin,lmax,const,const_err,log_t,log_t_err
-8.579916,-5.589251,-0.388591,0.000083,-0.479737,0.000013
-8.984190,-6.207984,-0.471128,0.000219,-0.491542,0.000031
-7.638004,-5.076539,-0.337009,0.000032,-0.471532,0.000006
-8.775684,-6.221985,-0.449597,0.000180,-0.488359,0.000026
-7.661763,-5.350469,-0.348931,0.000040,-0.473379,0.000007
-7.939727,-5.942210,-0.384830,0.000050,-0.478719,0.000008
-8.568114,-4.328321,-0.369766,0.000026,-0.477167,0.000005
-7.092528,-4.317953,-0.365626,0.000028,-0.476340,0.000005
-6.814990,-4.888037,-0.320833,0.000025,-0.468615,0.000004
-8.418345,-6.309839,-0.418605,0.000143,-0.483758,0.000020
-6.791871,-5.727530,-0.339862,0.000104,-0.471670,0.000017
-6.848784,-4.294312,-0.366227,0.000029,-0.476454,0.000006
-6.844933,-5.497950,-0.336706,0.000062,-0.471200,0.000010
-8.201062,-5.516318,-0.368977,0.000054,-0.476605,0.000009
-8.477863,-4.881403,-0.350164,0.000039,-0.473985,0.000007
-7.806347,-5.469646,-0.356714,0.000041,-0.474590,0.000007
-8.391020,-4.473095,-0.362164,0.000027,-0.475847,0.000005
-7.739819,-5.658075,-0.361543,0.000052,-0.475287,0.000008
-7.007813,-6.142731,-0.399401,0.000139,-0.480956,0.000021
-7.447147,-6.399742,-0.372516,0.000131,-0.476961,0.000019
-7.779311,-4.636584,-0.349588,0.000029,-0.473611,0.000005
-8.116944,-5.171937,-0.349703,0.000041,-0.473684,0.000007
-7.675850,-4.620831,-0.350024,0.000029,-0.473670,0.000005
-8.600632,-5.721843,-0.398827,0.000095,-0.481205,0.000014
-7.100936,-4.016918,-0.376382,0.000022,-0.478274,0.000004
-8.081634,-6.422151,-0.393852,0.000119,-0.480066,0.000017
-7.094029,-4.553825,-0.353661,0.000034,-0.474266,0.000006
-8.219319,-5.687296,-0.377937,0.000065,-0.477912,0.000010
-6.740600,-4.854307,-0.321602,0.000025,-0.468727,0.000005
-7.096868,-5.777101,-0.366863,0.000088,-0.476041,0.000014
-8.647351,-5.008891,-0.358894,0.000053,-0.475444,0.000009
-7.942749,-6.229915,-0.383861,0.000077,-0.478587,0.000011
-6.694550,-4.311107,-0.367604,0.000031,-0.476742,0.000006
-8.323206,-6.323937,-0.410160,0.000133,-0.482515,0.000019
-7.280949,-4.293557,-0.365560,0.000026,-0.476317,0.000005
-8.632582,-6.224116,-0.436255,0.000157,-0.486387,0.000022
-7.629843,-6.370224,-0.365920,0.000104,-0.475981,0.000015
-8.665629,-5.804310,-0.411352,0.000104,-0.483022,0.000016
-7.625076,-6.229685,-0.376305,0.000088,-0.477449,0.000013
-8.844609,-4.557602,-0.368660,0.000038,-0.477133,0.000007
-8.749617,-6.238384,-0.447562,0.000179,-0.488050,0.000025
-8.341872,-5.723177,-0.385212,0.000075,-0.479044,0.000011
-7.258574,-4.544867,-0.354472,0.000032,-0.474412,0.000006
-8.729460,-5.743903,-0.408375,0.000109,-0.482678,0.000016
-7.165533,-6.019353,-0.390777,0.000087,-0.479676,0.000013
-7.258114,-5.909045,-0.386960,0.000067,-0.479091,0.000010
-8.076100,-5.801997,-0.380615,0.000058,-0.478195,0.000009
-8.232433,-6.047741,-0.399342,0.000081,-0.480950,0.000012
-8.248709,-6.022492,-0.399432,0.000079,-0.480974,0.000012
-8.484859,-5.434445,-0.377031,0.000064,-0.477991,0.000010
