lmin,lmax,const,const_err,log_t,log_t_err
-6.515220,-2.817669,0.473841,0.000076,-0.460057,0.000020
-4.621696,-3.079923,0.477681,0.000080,-0.459949,0.000022
-6.122449,-3.811786,0.500430,0.000067,-0.454369,0.000014
-6.271917,-2.146963,0.431710,0.000065,-0.470286,0.000020
-5.906070,-3.414461,0.497624,0.000054,-0.455014,0.000013
-6.118958,-2.340716,0.436306,0.000081,-0.469233,0.000024
-5.042980,-4.139072,0.484065,0.000206,-0.457938,0.000045
-4.917181,-2.743504,0.449325,0.000099,-0.466940,0.000028
-6.315013,-3.734173,0.504274,0.000064,-0.453540,0.000014
-6.816406,-4.153222,0.505794,0.000099,-0.453178,0.000020
-6.670428,-3.332034,0.498834,0.000053,-0.454590,0.000012
-4.923146,-2.669794,0.444622,0.000093,-0.468145,0.000027
-4.841838,-3.830627,0.498413,0.000154,-0.454811,0.000036
-6.127014,-4.491665,0.509226,0.000150,-0.452735,0.000029
-6.714693,-2.074523,0.433939,0.000060,-0.469446,0.000019
-6.043643,-2.020847,0.429515,0.000054,-0.471033,0.000018
-4.800327,-4.281044,0.480171,0.000519,-0.458914,0.000115
-6.324500,-2.671713,0.461456,0.000083,-0.462986,0.000023
-5.760031,-2.638892,0.454614,0.000082,-0.464956,0.000023
-4.891730,-2.944234,0.469558,0.000081,-0.461840,0.000022
-5.606796,-2.430273,0.437490,0.000083,-0.469332,0.000025
-5.682481,-3.235440,0.491831,0.000054,-0.456299,0.000013
-6.126809,-4.349809,0.505119,0.000126,-0.453496,0.000025
-5.556130,-3.110980,0.486861,0.000056,-0.457435,0.000014
-6.086182,-2.057770,0.429797,0.000057,-0.470927,0.000018
-5.147491,-2.533081,0.440045,0.000083,-0.469098,0.000024
-5.555129,-3.729634,0.501823,0.000079,-0.454112,0.000018
-6.780235,-2.391886,0.444634,0.000084,-0.466766,0.000024
-5.101666,-3.616675,0.504836,0.000092,-0.453421,0.000022
-5.287445,-4.320736,0.494583,0.000217,-0.455728,0.000046
-6.686898,-2.452482,0.449245,0.000082,-0.465699,0.000023
-5.961225,-3.398331,0.497211,0.000053,-0.455099,0.000012
-5.989942,-4.494435,0.506157,0.000154,-0.453364,0.000030
-6.597826,-3.672017,0.506921,0.000060,-0.452970,0.000013
-6.434743,-3.919721,0.502771,0.000080,-0.453801,0.000017
-5.180045,-2.178961,0.420954,0.000065,-0.474122,0.000021
-6.525072,-4.349842,0.511585,0.000122,-0.452153,0.000024
-5.242207,-3.965403,0.493900,0.000124,-0.455822,0.000028
-4.511777,-4.179328,0.472720,0.000477,-0.460470,0.000110
-4.907795,-3.522337,0.499489,0.000105,-0.454619,0.000026
-6.589628,-2.328834,0.439750,0.000081,-0.468056,0.000024
-4.781164,-3.575504,0.503535,0.000122,-0.453681,0.000030
-6.473886,-3.886116,0.503092,0.000075,-0.453730,0.000016
-6.508734,-3.038301,0.488497,0.000056,-0.456811,0.000014
-6.307133,-2.003120,0.431350,0.000054,-0.470357,0.000017
-5.678703,-4.314236,0.499790,0.000151,-0.454597,0.000031
-5.887875,-3.326594,0.494422,0.000056,-0.455702,0.000013
-6.999937,-3.223835,0.497351,0.000048,-0.454851,0.000011
-4.644693,-3.559339,0.503444,0.000136,-0.453671,0.000034
-5.964622,-3.982370,0.497646,0.000083,-0.454974,0.000018
