lmin,lmax,const,const_err,log_t,log_t_err
-3.274942,-1.222834,2.488063,0.000019,-0.308766,0.000009
-2.716662,-1.417187,2.490983,0.000018,-0.308034,0.000009
-3.200643,-0.809193,2.484039,0.000010,-0.310637,0.000006
-3.850155,-1.793350,2.499841,0.000011,-0.304101,0.000004
-4.195075,-0.795228,2.485996,0.000009,-0.309215,0.000005
-2.979007,-1.320182,2.489062,0.000021,-0.308607,0.000010
-4.648954,-2.278082,2.500587,0.000020,-0.303791,0.000006
-4.050929,-1.239375,2.490184,0.000016,-0.307609,0.000007
-4.499581,-0.600973,2.485387,0.000007,-0.309335,0.000004
-4.321545,-0.737825,2.485962,0.000009,-0.309170,0.000005
-4.661540,-0.069709,2.475914,0.000008,-0.313899,0.000006
-3.092127,-2.317874,2.506899,0.000023,-0.301307,0.000009
-3.857073,-0.833732,2.485634,0.000010,-0.309531,0.000005
-3.910808,-0.108835,2.475778,0.000008,-0.314571,0.000006
-4.738672,-0.969273,2.488337,0.000012,-0.308013,0.000006
-4.849407,-2.439224,2.501148,0.000027,-0.303552,0.000008
-2.580071,-1.114862,2.481134,0.000016,-0.312943,0.000009
-4.192690,-1.827006,2.499697,0.000010,-0.304159,0.000004
-4.424123,-0.096998,2.476183,0.000008,-0.313926,0.000006
-4.627758,-2.301349,2.500351,0.000020,-0.303864,0.000007
-4.759586,-0.040897,2.475569,0.000008,-0.314020,0.000006
-2.802736,-1.553381,2.495348,0.000017,-0.305994,0.000008
-4.828641,-1.123063,2.490459,0.000014,-0.307175,0.000007
-4.313367,-2.389016,2.497824,0.000022,-0.304704,0.000007
-4.225472,-0.260245,2.478994,0.000008,-0.312578,0.000006
-3.362683,-0.229168,2.477035,0.000008,-0.314357,0.000006
-4.773852,-1.348291,2.494585,0.000014,-0.305747,0.000006
-3.022238,-2.347689,2.507212,0.000028,-0.301168,0.000011
-3.715372,-1.991283,2.499734,0.000014,-0.304071,0.000005
-2.723078,-1.723688,2.499319,0.000017,-0.304338,0.000008
-3.274514,-1.420209,2.494705,0.000015,-0.305993,0.000007
-4.232050,-2.120547,2.499280,0.000016,-0.304295,0.000005
-3.310065,-0.204519,2.476511,0.000008,-0.314728,0.000006
-3.629586,-1.229069,2.489313,0.000017,-0.308062,0.000008
-2.869875,-0.954318,2.482813,0.000012,-0.311631,0.000007
-4.779639,-0.072697,2.476085,0.000008,-0.313726,0.000006
-2.625677,-1.208550,2.482154,0.000020,-0.312343,0.000011
-2.986865,-0.956381,2.483568,0.000013,-0.311103,0.000007
-2.557052,-0.335256,2.477279,0.000006,-0.315403,0.000005
-2.896910,-2.079256,2.502825,0.000025,-0.302854,0.000010
-3.017139,-0.638760,2.483030,0.000007,-0.311341,0.000005
-2.944927,-0.826482,2.482988,0.000010,-0.311446,0.000006
-3.228594,-2.168182,2.505511,0.000016,-0.301841,0.000006
-4.838604,-0.374501,2.482255,0.000008,-0.310600,0.000005
-2.808643,-2.240780,2.509184,0.000031,-0.300392,0.000012
-4.759446,-2.050306,2.500665,0.000014,-0.303740,0.000005
-3.314857,-1.932478,2.501579,0.000013,-0.303295,0.000005
-3.981306,-0.669252,2.485123,0.000008,-0.309704,0.000004
-4.276892,-0.322407,2.480514,0.000008,-0.311769,0.000005
-4.766057,-0.455601,2.483719,0.000008,-0.309962,0.000005
