lmin,lmax,const,const_err,log_t,log_t_err
-4.681171,-2.142295,0.646878,0.000046,-0.452053,0.000015
-6.309855,-3.795315,0.661710,0.000086,-0.447229,0.000019
-4.983618,-4.188526,0.674017,0.000205,-0.444743,0.000045
-4.927977,-2.215151,0.652591,0.000043,-0.450309,0.000014
-6.796925,-3.171289,0.672010,0.000053,-0.445209,0.000013
-4.976187,-2.559538,0.666978,0.000035,-0.446357,0.000010
-4.508138,-4.192537,0.702164,0.000506,-0.438152,0.000116
-5.527359,-4.338762,0.665881,0.000228,-0.446544,0.000047
-4.622881,-3.759487,0.652961,0.000225,-0.449382,0.000054
-5.457416,-2.076237,0.647673,0.000040,-0.451507,0.000013
-6.158578,-3.309131,0.673739,0.000072,-0.444796,0.000017
-6.780631,-2.753919,0.668406,0.000034,-0.445976,0.000009
-6.562593,-3.182002,0.672133,0.000056,-0.445173,0.000014
-4.616675,-3.427011,0.690223,0.000170,-0.440607,0.000043
-6.765920,-3.309674,0.672629,0.000064,-0.445080,0.000015
-5.799465,-4.132414,0.673478,0.000130,-0.444904,0.000027
-5.820309,-4.102481,0.672440,0.000125,-0.445103,0.000026
-5.301144,-2.928951,0.666726,0.000057,-0.446467,0.000015
-6.815271,-3.377034,0.674078,0.000067,-0.444789,0.000016
-5.885294,-3.437129,0.677642,0.000089,-0.443926,0.000021
-5.310405,-2.059150,0.646384,0.000040,-0.451930,0.000013
-6.941015,-4.460244,0.670645,0.000136,-0.445568,0.000026
-6.075472,-3.276744,0.673335,0.000071,-0.444868,0.000017
-5.386929,-4.034033,0.658431,0.000130,-0.448178,0.000028
-6.296553,-4.148752,0.670811,0.000108,-0.445485,0.000022
-5.562072,-2.826940,0.667416,0.000045,-0.446252,0.000012
-4.824265,-3.577188,0.678111,0.000180,-0.443630,0.000044
-5.111191,-4.028250,0.660498,0.000146,-0.447687,0.000033
-6.828853,-4.014343,0.666921,0.000082,-0.446220,0.000017
-5.252191,-2.631412,0.666411,0.000037,-0.446545,0.000011
-4.793150,-2.234369,0.653352,0.000042,-0.450152,0.000014
-6.477028,-4.477364,0.673489,0.000162,-0.445017,0.000031
-6.939986,-2.767168,0.668165,0.000034,-0.446039,0.000009
-5.080684,-3.174711,0.674348,0.000083,-0.444573,0.000021
-4.625613,-4.486168,0.655660,0.000987,-0.448965,0.000217
-4.756538,-3.594888,0.677048,0.000194,-0.443846,0.000048
-6.557118,-3.397416,0.674677,0.000072,-0.444647,0.000017
-6.441113,-2.055485,0.649940,0.000037,-0.450616,0.000012
-5.328939,-4.344641,0.652860,0.000242,-0.449347,0.000051
-6.141462,-3.756686,0.663786,0.000089,-0.446797,0.000020
-6.023508,-2.795262,0.668221,0.000039,-0.446002,0.000011
-5.859452,-3.869105,0.660495,0.000114,-0.447476,0.000025
-6.068361,-4.477045,0.680071,0.000187,-0.443675,0.000037
-6.479794,-3.644528,0.668170,0.000082,-0.445948,0.000018
-5.665122,-2.297446,0.660190,0.000031,-0.448079,0.000009
-6.353037,-2.278470,0.660290,0.000030,-0.447970,0.000009
-5.855678,-4.236485,0.675248,0.000152,-0.444549,0.000031
-5.105619,-4.048929,0.662851,0.000145,-0.447179,0.000032
-4.927558,-3.319743,0.677317,0.000116,-0.443862,0.000029
-6.159049,-2.395518,0.664715,0.000026,-0.446864,0.000008
