lmin,lmax,const,const_err,log_t,log_t_err
-10.159768,-9.250888,-2.040413,0.000386,-0.492370,0.000040
-9.621704,-8.630566,-1.962249,0.000183,-0.483910,0.000020
-10.102656,-7.670679,-1.944619,0.000081,-0.482228,0.000010
-11.883188,-7.215258,-1.967986,0.000066,-0.485228,0.000008
-10.473488,-8.960345,-2.035069,0.000167,-0.491768,0.000017
-11.370573,-7.589963,-1.964188,0.000067,-0.484609,0.000008
-11.565332,-9.398968,-2.080353,0.000358,-0.496404,0.000035
-10.629603,-9.321530,-2.015809,0.000264,-0.489827,0.000027
-10.107508,-9.246480,-2.053867,0.000395,-0.493782,0.000041
-10.819296,-8.274860,-1.976542,0.000099,-0.485737,0.000011
-10.812330,-8.608099,-2.002275,0.000102,-0.488406,0.000011
-11.663285,-7.721298,-1.978127,0.000093,-0.486226,0.000011
-11.022695,-8.628689,-2.008900,0.000098,-0.489117,0.000010
-9.766333,-9.403450,-2.217694,0.000726,-0.510997,0.000076
-9.692424,-9.342035,-2.236649,0.000622,-0.513029,0.000065
-11.990841,-8.026334,-1.999839,0.000173,-0.488710,0.000019
-10.982792,-8.530403,-2.002820,0.000089,-0.488490,0.000010
-9.513993,-8.604214,-1.937832,0.000161,-0.481175,0.000018
-9.887233,-8.177168,-1.934863,0.000149,-0.481085,0.000017
-10.950220,-7.381554,-1.951927,0.000049,-0.483161,0.000006
-10.048905,-7.936382,-1.938143,0.000118,-0.481513,0.000014
-11.045810,-8.828932,-2.024423,0.000109,-0.490682,0.000011
-10.724844,-8.738434,-2.009632,0.000120,-0.489151,0.000013
-10.841382,-9.458493,-1.993102,0.000248,-0.487591,0.000025
-11.046487,-8.293722,-1.985639,0.000092,-0.486734,0.000010
-10.554445,-9.265841,-2.025209,0.000251,-0.490783,0.000026
-9.875917,-8.553009,-1.992739,0.000165,-0.487364,0.000018
-11.217377,-8.189579,-1.975298,0.000108,-0.485715,0.000012
-11.440060,-7.157741,-1.959362,0.000046,-0.484105,0.000006
-10.049627,-8.434299,-1.992168,0.000118,-0.487329,0.000013
-11.686472,-7.048573,-1.968065,0.000050,-0.485160,0.000006
-11.563729,-7.335327,-1.961021,0.000058,-0.484325,0.000007
-10.287034,-8.896781,-2.028248,0.000178,-0.491063,0.000019
-10.643000,-7.455268,-1.951269,0.000054,-0.483047,0.000006
-10.886742,-8.637746,-2.006364,0.000102,-0.488836,0.000011
-11.474907,-7.232505,-1.956774,0.000049,-0.483825,0.000006
-11.459998,-9.427905,-2.061930,0.000325,-0.494552,0.000032
-11.903206,-8.677595,-2.071609,0.000249,-0.495872,0.000026
-11.974460,-8.236949,-2.026640,0.000192,-0.491434,0.000021
-10.273436,-7.908238,-1.944950,0.000105,-0.482292,0.000012
-10.115118,-8.307458,-1.971002,0.000119,-0.485054,0.000013
-11.898020,-7.368778,-1.973775,0.000077,-0.485871,0.000009
-10.055271,-9.182218,-2.080126,0.000309,-0.496535,0.000032
-9.782210,-8.178720,-1.926099,0.000151,-0.480064,0.000017
-11.073560,-7.857351,-1.963049,0.000086,-0.484402,0.000010
-11.941060,-9.177788,-2.133538,0.000432,-0.501896,0.000043
-10.859463,-9.454856,-1.995259,0.000246,-0.487809,0.000025
-10.754124,-8.583657,-2.000446,0.000101,-0.488213,0.000011
-11.203982,-7.940467,-1.962810,0.000096,-0.484413,0.000011
-11.547776,-8.350896,-2.014898,0.000117,-0.489933,0.000013
