lmin,lmax,const,const_err,log_t,log_t_err
-4.412341,-1.399525,1.137797,0.000035,-0.424648,0.000015
-6.654090,-2.010204,1.162863,0.000036,-0.416001,0.000012
-6.827187,-2.278327,1.169918,0.000034,-0.414217,0.000010
-6.574959,-2.883688,1.173307,0.000054,-0.413346,0.000014
-6.112944,-3.315097,1.174119,0.000101,-0.413194,0.000024
-6.592585,-2.662509,1.174039,0.000041,-0.413181,0.000011
-6.435377,-1.771621,1.159717,0.000028,-0.416871,0.000010
-3.972278,-1.599817,1.143186,0.000042,-0.423044,0.000017
-3.987483,-1.879020,1.153927,0.000039,-0.419328,0.000015
-4.628378,-1.721565,1.152720,0.000030,-0.419544,0.000011
-4.972968,-0.793021,1.122730,0.000023,-0.429774,0.000012
-6.973104,-2.375284,1.172105,0.000032,-0.413705,0.000009
-6.267491,-1.464426,1.146918,0.000036,-0.420652,0.000014
-5.350929,-3.672438,1.178803,0.000114,-0.412533,0.000026
-6.017757,-2.329208,1.170899,0.000036,-0.413990,0.000011
-6.905857,-1.617347,1.153322,0.000035,-0.418663,0.000013
-5.368041,-3.345301,1.165114,0.000104,-0.415554,0.000026
-5.527984,-2.402932,1.171380,0.000033,-0.413999,0.000010
-4.673515,-2.372598,1.168926,0.000040,-0.414767,0.000013
-6.957319,-3.713864,1.182899,0.000115,-0.411557,0.000025
-5.720685,-0.847218,1.126621,0.000024,-0.427728,0.000012
-4.591462,-2.540064,1.171781,0.000050,-0.413972,0.000015
-4.023496,-1.525239,1.139958,0.000040,-0.424163,0.000017
-6.267489,-2.466304,1.174585,0.000034,-0.413046,0.000010
-6.472321,-0.991837,1.131438,0.000029,-0.425642,0.000013
-5.715337,-3.418621,1.174591,0.000107,-0.413251,0.000026
-4.342942,-2.658955,1.170154,0.000065,-0.414371,0.000020
-4.511373,-1.276613,1.134251,0.000032,-0.425829,0.000014
-3.858295,-0.780470,1.117761,0.000020,-0.433077,0.000011
-6.672419,-3.499908,1.180997,0.000086,-0.411808,0.000020
-4.445180,-2.524494,1.172154,0.000052,-0.413849,0.000016
-6.017433,-2.094988,1.163215,0.000041,-0.415988,0.000013
-5.968210,-0.861539,1.127512,0.000025,-0.427255,0.000012
-5.382571,-3.540458,1.175075,0.000099,-0.413334,0.000024
-5.077710,-1.699531,1.153068,0.000031,-0.419263,0.000011
-4.878634,-3.687140,1.174246,0.000156,-0.413675,0.000037
-4.667929,-1.716756,1.152557,0.000031,-0.419581,0.000012
-5.054151,-1.595961,1.147768,0.000036,-0.420930,0.000014
-6.091326,-3.143545,1.171780,0.000082,-0.413702,0.000020
-5.857161,-1.608962,1.151336,0.000036,-0.419454,0.000013
-6.955770,-1.630019,1.153945,0.000034,-0.418484,0.000012
-6.737829,-1.924101,1.161769,0.000032,-0.416291,0.000011
-4.173427,-1.171447,1.129073,0.000030,-0.428059,0.000014
-6.249169,-1.972832,1.162100,0.000035,-0.416239,0.000012
-5.117017,-1.473547,1.143498,0.000035,-0.422265,0.000014
-4.004015,-3.566952,1.140600,0.000345,-0.422342,0.000091
-6.994377,-2.119132,1.164526,0.000038,-0.415587,0.000012
-6.889395,-1.699908,1.157073,0.000031,-0.417594,0.000011
-4.372455,-2.169993,1.159833,0.000050,-0.417431,0.000017
-5.640452,-2.217285,1.166205,0.000038,-0.415316,0.000012
