lmin,lmax,const,const_err,log_t,log_t_err
-4.510903,-3.098662,1.933758,0.000070,-0.349750,0.000019
-5.448406,-1.102012,1.877316,0.000022,-0.364917,0.000010
-5.915952,-1.839399,1.889636,0.000051,-0.360760,0.000018
-5.140844,-1.566084,1.884203,0.000033,-0.362844,0.000013
-5.470553,-2.954449,1.931496,0.000052,-0.350152,0.000014
-5.678796,-1.000485,1.877404,0.000019,-0.364765,0.000009
-4.518309,-2.386787,1.898917,0.000075,-0.359128,0.000024
-4.429729,-3.129002,1.934303,0.000077,-0.349630,0.000021
-5.684497,-0.589462,1.868593,0.000016,-0.368198,0.000009
-4.671778,-1.203329,1.875272,0.000021,-0.366220,0.000009
-3.731068,-3.226378,1.933704,0.000130,-0.349813,0.000038
-4.667224,-1.200656,1.875202,0.000021,-0.366249,0.000009
-4.922628,-0.730881,1.871189,0.000014,-0.367636,0.000007
-5.091132,-0.635909,1.868769,0.000015,-0.368511,0.000008
-4.052603,-1.322647,1.873291,0.000019,-0.367588,0.000008
-3.350023,-2.569358,1.884540,0.000081,-0.364853,0.000028
-4.706421,-1.096553,1.874599,0.000018,-0.366435,0.000009
-4.131365,-2.965475,1.919512,0.000084,-0.353749,0.000024
-3.582783,-2.135408,1.870107,0.000051,-0.369250,0.000019
-3.824123,-0.819155,1.869606,0.000009,-0.369244,0.000005
-5.902097,-0.614928,1.869662,0.000017,-0.367651,0.000009
-4.987104,-2.493795,1.911185,0.000063,-0.355432,0.000019
-3.695825,-2.188459,1.875293,0.000057,-0.367336,0.000020
-3.987030,-3.230817,1.922874,0.000098,-0.352998,0.000027
-4.178134,-1.809224,1.874860,0.000039,-0.366815,0.000015
-3.797770,-2.691302,1.903475,0.000063,-0.358496,0.000020
-3.668840,-0.805736,1.868945,0.000009,-0.369647,0.000005
-5.899657,-2.080263,1.898004,0.000059,-0.358462,0.000019
-4.937089,-0.709423,1.870770,0.000013,-0.367797,0.000007
-5.961253,-2.966343,1.932303,0.000044,-0.349948,0.000011
-3.623097,-0.703997,1.866730,0.000010,-0.370711,0.000006
-5.928056,-2.698538,1.924805,0.000048,-0.351690,0.000013
-4.393874,-1.696227,1.878822,0.000035,-0.365238,0.000014
-5.362293,-1.174927,1.877651,0.000023,-0.364854,0.000010
-5.178424,-2.454643,1.910703,0.000064,-0.355448,0.000019
-5.605396,-1.856209,1.888582,0.000051,-0.361221,0.000018
-4.576635,-2.442248,1.904024,0.000070,-0.357636,0.000022
-3.495975,-1.710312,1.868745,0.000029,-0.369766,0.000012
-4.543432,-0.599922,1.866257,0.000014,-0.370049,0.000008
-5.537018,-0.899455,1.875848,0.000017,-0.365408,0.000008
-5.633274,-2.996167,1.933226,0.000046,-0.349744,0.000012
-5.308288,-0.865482,1.874957,0.000016,-0.365874,0.000008
-3.543361,-3.154683,1.928197,0.000165,-0.351419,0.000049
-4.431494,-2.912420,1.922745,0.000079,-0.352642,0.000023
-4.291049,-2.865088,1.918456,0.000085,-0.353860,0.000025
-4.981962,-0.510214,1.865509,0.000014,-0.369994,0.000008
-5.449539,-0.517545,1.866622,0.000015,-0.369163,0.000009
-5.579917,-1.689466,1.887118,0.000041,-0.361662,0.000015
-5.930938,-1.389615,1.883534,0.000030,-0.362605,0.000012
-4.108307,-1.364063,1.873929,0.000020,-0.367285,0.000009
