lmin,lmax,const,const_err,log_t,log_t_err
-2.594558,0.925592,3.344179,0.000005,-0.244886,0.000006
-2.205208,1.499841,3.343303,0.000005,-0.248547,0.000005
-0.807417,0.822837,3.345354,0.000003,-0.247473,0.000007
-2.781575,0.481721,3.345849,0.000007,-0.242480,0.000008
-1.306962,1.209739,3.344615,0.000004,-0.248912,0.000006
-1.511879,1.426843,3.344248,0.000005,-0.249541,0.000005
-1.941367,0.535598,3.345499,0.000004,-0.244360,0.000006
-0.808870,0.016031,3.348330,0.000005,-0.239459,0.000012
-2.893296,1.720914,3.342309,0.000006,-0.248421,0.000005
-2.004086,1.767007,3.343599,0.000005,-0.249918,0.000004
-1.134200,0.640200,3.345359,0.000003,-0.246097,0.000007
-1.813155,1.825191,3.343949,0.000005,-0.250469,0.000004
-2.903048,0.403486,3.346142,0.000008,-0.241977,0.000009
-0.876087,0.631386,3.345455,0.000004,-0.246404,0.000008
-2.950377,1.251393,3.342790,0.000006,-0.246286,0.000007
-2.467874,1.117710,3.343704,0.000005,-0.246108,0.000006
-2.165996,1.331674,3.343447,0.000005,-0.248087,0.000006
-1.583556,-0.449043,3.346288,0.000015,-0.243416,0.000015
-0.810427,1.885341,3.346126,0.000004,-0.252386,0.000003
-0.901121,1.380280,3.345315,0.000005,-0.250677,0.000006
-2.596627,-0.466961,3.349161,0.000017,-0.240154,0.000013
-1.751103,0.417390,3.345693,0.000004,-0.244369,0.000007
-2.789725,-0.191974,3.348911,0.000013,-0.239964,0.000011
-0.612440,0.565206,3.345902,0.000003,-0.247687,0.000009
-1.444427,1.762934,3.344545,0.000005,-0.250753,0.000004
-1.403272,1.990753,3.344792,0.000004,-0.251358,0.000003
-0.962836,1.412021,3.345196,0.000005,-0.250611,0.000005
-1.556456,1.139025,3.344398,0.000004,-0.247743,0.000005
-2.568268,0.617134,3.345220,0.000005,-0.243585,0.000007
-0.828336,0.190393,3.346752,0.000006,-0.242908,0.000015
-1.758251,-0.036492,3.347689,0.000006,-0.242036,0.000007
-1.871201,1.767008,3.343801,0.000005,-0.250102,0.000004
-1.183043,0.718700,3.345212,0.000003,-0.246448,0.000006
-2.852986,-0.268656,3.349359,0.000015,-0.239567,0.000012
-2.877737,1.288726,3.342762,0.000006,-0.246634,0.000007
-1.585978,0.958915,3.344635,0.000003,-0.246717,0.000005
-2.036946,0.381693,3.345839,0.000005,-0.243785,0.000007
-1.917148,0.799769,3.344804,0.000004,-0.245466,0.000005
-1.829115,0.694578,3.345041,0.000004,-0.245215,0.000006
-2.871769,-0.126530,3.349051,0.000012,-0.239734,0.000011
-0.565170,1.241988,3.346332,0.000004,-0.251487,0.000006
-2.601183,0.774624,3.344651,0.000005,-0.244203,0.000006
-2.954322,0.722608,3.344761,0.000006,-0.243260,0.000008
-2.128631,1.879706,3.343491,0.000005,-0.250261,0.000004
-2.910398,1.022513,3.343651,0.000006,-0.244830,0.000007
-2.613651,1.582100,3.342744,0.000006,-0.248218,0.000005
-1.936043,-0.113105,3.347547,0.000006,-0.242081,0.000007
-2.811483,0.174523,3.347645,0.000008,-0.240881,0.000008
-0.867204,1.840522,3.345903,0.000004,-0.252137,0.000004
-1.640970,1.740545,3.344154,0.000005,-0.250312,0.000004
