lmin,lmax,const,const_err,log_t,log_t_err
-6.680930,-4.977697,-0.116084,0.000033,-0.475578,0.000006
-6.042739,-4.556504,-0.159612,0.000033,-0.483551,0.000006
-6.703501,-4.993875,-0.114576,0.000033,-0.475312,0.000006
-5.905628,-4.322594,-0.177378,0.000027,-0.486958,0.000005
-5.634997,-4.914661,-0.153215,0.000051,-0.482648,0.000010
-6.661498,-5.454454,-0.092081,0.000057,-0.471635,0.000010
-5.659575,-4.277571,-0.188265,0.000023,-0.489289,0.000005
-5.962307,-4.701435,-0.148671,0.000038,-0.481565,0.000007
-6.693384,-5.095140,-0.109985,0.000036,-0.474549,0.000006
-6.793607,-4.891711,-0.115025,0.000031,-0.475327,0.000006
-5.689708,-4.486941,-0.184766,0.000035,-0.488582,0.000007
-6.168395,-5.489659,-0.108490,0.000115,-0.474489,0.000020
-6.575705,-4.274668,-0.161116,0.000024,-0.483532,0.000005
-6.113881,-4.276733,-0.172721,0.000023,-0.485967,0.000005
-6.381303,-4.524523,-0.155626,0.000031,-0.482672,0.000006
-5.745989,-4.073283,-0.182380,0.000018,-0.488065,0.000004
-6.185064,-5.002701,-0.129613,0.000038,-0.478115,0.000007
-6.328929,-4.180921,-0.167847,0.000021,-0.484936,0.000004
-5.941455,-4.501607,-0.169226,0.000036,-0.485393,0.000007
-6.419431,-4.886155,-0.127575,0.000027,-0.477682,0.000005
-6.176975,-5.049081,-0.126157,0.000040,-0.477511,0.000007
-6.078970,-4.557810,-0.159282,0.000032,-0.483487,0.000006
-6.226344,-5.093361,-0.125511,0.000041,-0.477391,0.000007
-6.595066,-4.950742,-0.119839,0.000030,-0.476270,0.000005
-6.656210,-4.326110,-0.157521,0.000027,-0.482819,0.000005
-6.234418,-4.016547,-0.173346,0.000016,-0.486031,0.000003
-6.352386,-4.861459,-0.130426,0.000026,-0.478210,0.000005
-6.821757,-4.750650,-0.122575,0.000031,-0.476589,0.000006
-6.606304,-4.108523,-0.163571,0.000020,-0.483965,0.000004
-5.548284,-5.213102,-0.188126,0.000158,-0.489107,0.000029
-5.597964,-4.426794,-0.192452,0.000031,-0.490163,0.000006
-6.735671,-4.897512,-0.117062,0.000030,-0.475712,0.000005
-6.252878,-4.868859,-0.132269,0.000028,-0.478565,0.000005
-6.170699,-5.277112,-0.118005,0.000064,-0.476107,0.000011
-6.712204,-5.198005,-0.106085,0.000043,-0.473893,0.000007
-6.571265,-4.126065,-0.163845,0.000020,-0.484039,0.000004
-6.514109,-4.474295,-0.155477,0.000030,-0.482559,0.000006
-6.826117,-4.934743,-0.111765,0.000033,-0.474758,0.000006
-6.718032,-4.282052,-0.157161,0.000026,-0.482709,0.000005
-6.783846,-4.341950,-0.153022,0.000028,-0.481914,0.000006
-5.620582,-4.015729,-0.186588,0.000016,-0.488993,0.000003
-6.018234,-4.690925,-0.147863,0.000036,-0.481394,0.000007
-5.605048,-4.568322,-0.180980,0.000034,-0.487941,0.000007
-6.565083,-5.050035,-0.116273,0.000032,-0.475685,0.000006
-6.197918,-4.477521,-0.164630,0.000031,-0.484419,0.000006
-5.680972,-5.068857,-0.139725,0.000078,-0.480110,0.000015
-6.186828,-5.350291,-0.118041,0.000076,-0.476114,0.000013
-5.880817,-4.031431,-0.179056,0.000017,-0.487307,0.000004
-6.895316,-5.168396,-0.098230,0.000044,-0.472475,0.000008
-5.536823,-5.087821,-0.151891,0.000101,-0.482389,0.000019
