lmin,lmax,const,const_err,log_t,log_t_err
-6.856041,-3.548060,0.048523,0.000028,-0.479117,0.000006
-7.272158,-4.210216,0.060302,0.000053,-0.476890,0.000010
-7.018326,-3.307731,0.061806,0.000031,-0.476426,0.000007
-6.760992,-4.069244,0.047017,0.000056,-0.479415,0.000011
-5.603100,-2.949116,0.085809,0.000036,-0.471060,0.000009
-5.567193,-2.674831,0.080333,0.000025,-0.472369,0.000007
-7.098899,-4.319442,0.067769,0.000050,-0.475597,0.000010
-7.185515,-2.112137,0.064336,0.000013,-0.476390,0.000004
-7.795033,-2.112772,0.064393,0.000012,-0.476373,0.000004
-6.789910,-2.733841,0.079035,0.000022,-0.472849,0.000006
-6.399255,-2.778698,0.081496,0.000024,-0.472253,0.000006
-5.834795,-3.716353,0.037329,0.000040,-0.481770,0.000009
-6.790910,-2.057511,0.061652,0.000013,-0.477103,0.000004
-7.873727,-4.047016,0.051236,0.000047,-0.478489,0.000009
-7.500303,-2.132301,0.065470,0.000012,-0.476097,0.000004
-5.960271,-2.454775,0.073301,0.000018,-0.474167,0.000005
-7.286600,-4.250271,0.062957,0.000052,-0.476421,0.000010
-5.593713,-3.703048,0.033716,0.000043,-0.482637,0.000010
-7.021433,-2.475346,0.073516,0.000017,-0.474130,0.000005
-5.170559,-2.871002,0.092769,0.000034,-0.469040,0.000009
-7.183846,-4.734184,0.086090,0.000039,-0.472439,0.000007
-5.918329,-2.418351,0.073157,0.000018,-0.474201,0.000005
-5.844381,-2.652147,0.078489,0.000023,-0.472888,0.000007
-5.743419,-2.635553,0.077875,0.000024,-0.473018,0.000007
-6.025571,-2.254145,0.068886,0.000015,-0.475286,0.000005
-6.470122,-4.918229,0.093329,0.000069,-0.471170,0.000012
-6.461319,-4.944274,0.094548,0.000071,-0.470961,0.000013
-7.918692,-4.120000,0.053852,0.000049,-0.478045,0.000010
-7.527354,-2.129790,0.065361,0.000012,-0.476124,0.000004
-6.747687,-3.443988,0.051453,0.000027,-0.478556,0.000006
-6.298376,-3.594652,0.045331,0.000032,-0.479920,0.000007
-6.882838,-2.696296,0.078005,0.000021,-0.473088,0.000006
-7.460697,-4.033151,0.051490,0.000048,-0.478428,0.000010
-6.741603,-4.557812,0.080955,0.000043,-0.473318,0.000008
-7.107874,-3.738320,0.051218,0.000035,-0.478542,0.000008
-7.182813,-2.486940,0.073682,0.000017,-0.474095,0.000005
-6.550581,-3.659605,0.047305,0.000034,-0.479433,0.000007
-5.486625,-3.940018,0.022365,0.000062,-0.485056,0.000014
-7.688975,-3.247184,0.065507,0.000030,-0.475684,0.000007
-7.112521,-4.709401,0.085980,0.000039,-0.472452,0.000007
-6.902727,-3.973978,0.048521,0.000049,-0.479088,0.000010
-6.892884,-3.469070,0.051168,0.000027,-0.478584,0.000006
-5.094648,-2.997178,0.093325,0.000041,-0.468820,0.000011
-6.583399,-3.917964,0.047905,0.000049,-0.479304,0.000010
-6.136758,-3.155179,0.071948,0.000037,-0.474310,0.000009
-5.390789,-4.585722,0.052022,0.000083,-0.479244,0.000017
-7.598679,-4.894362,0.085269,0.000045,-0.472649,0.000008
-5.564101,-3.748881,0.033012,0.000047,-0.482798,0.000011
-6.781354,-3.344652,0.058001,0.000030,-0.477222,0.000007
-6.646389,-2.544192,0.074726,0.000019,-0.473836,0.000005
