lmin,lmax,const,const_err,log_t,log_t_err
-4.601391,-2.500139,0.845606,0.000055,-0.436479,0.000017
-4.989092,-3.481067,0.862305,0.000170,-0.432442,0.000042
-6.628111,-2.801078,0.855278,0.000068,-0.433447,0.000018
-4.542082,-4.169516,0.878179,0.000462,-0.428756,0.000106
-5.127782,-3.081370,0.850985,0.000109,-0.434924,0.000029
-5.263835,-3.928991,0.884356,0.000126,-0.427343,0.000028
-5.709492,-3.205272,0.856194,0.000114,-0.433478,0.000028
-5.617782,-3.568198,0.876339,0.000109,-0.429117,0.000025
-5.567818,-2.654153,0.850451,0.000059,-0.434857,0.000017
-6.520852,-3.363990,0.866410,0.000113,-0.431071,0.000026
-5.025665,-4.134419,0.877073,0.000196,-0.429017,0.000043
-5.943840,-2.400604,0.850528,0.000044,-0.434726,0.000013
-5.204149,-3.453724,0.865063,0.000164,-0.431647,0.000040
-5.173790,-3.856781,0.883891,0.000117,-0.427447,0.000027
-5.254453,-2.525916,0.849442,0.000052,-0.435206,0.000015
-5.342175,-3.887163,0.883729,0.000108,-0.427481,0.000024
-6.867804,-3.745037,0.880005,0.000090,-0.428432,0.000019
-5.845862,-3.108987,0.856681,0.000096,-0.433321,0.000024
-5.956487,-2.436208,0.851293,0.000045,-0.434531,0.000013
-6.434835,-2.108124,0.846302,0.000037,-0.435681,0.000012
-6.971907,-2.928368,0.856646,0.000074,-0.433178,0.000019
-5.366384,-2.541488,0.849977,0.000052,-0.435030,0.000015
-4.894570,-3.499900,0.863216,0.000174,-0.432275,0.000043
-6.133570,-4.234566,0.883684,0.000136,-0.427535,0.000028
-5.125883,-2.120123,0.841875,0.000036,-0.437300,0.000012
-6.238851,-2.714338,0.854466,0.000063,-0.433685,0.000017
-6.511897,-2.911098,0.856341,0.000078,-0.433220,0.000020
-5.620881,-3.855295,0.881449,0.000090,-0.428020,0.000020
-6.343185,-2.138559,0.846651,0.000038,-0.435607,0.000012
-4.697547,-4.005015,0.882602,0.000225,-0.427731,0.000052
-4.610188,-3.941548,0.885985,0.000210,-0.426924,0.000049
-5.370710,-2.805619,0.849266,0.000077,-0.435205,0.000021
-5.721484,-4.320626,0.880142,0.000189,-0.428298,0.000039
-6.775784,-3.878698,0.878526,0.000086,-0.428665,0.000018
-6.970531,-3.332294,0.863491,0.000107,-0.431745,0.000025
-6.636216,-3.893029,0.880109,0.000078,-0.428310,0.000016
-5.156837,-3.271836,0.852271,0.000148,-0.434602,0.000037
-6.813563,-3.254078,0.862138,0.000101,-0.431978,0.000024
-5.611857,-3.496855,0.871179,0.000123,-0.430227,0.000029
-5.478776,-4.168043,0.882648,0.000166,-0.427734,0.000035
-6.945129,-3.440576,0.868547,0.000105,-0.430719,0.000024
-6.198171,-3.037230,0.859374,0.000086,-0.432592,0.000022
-6.285890,-3.190180,0.860360,0.000104,-0.432363,0.000025
-6.812966,-2.889807,0.855758,0.000074,-0.433345,0.000019
-4.902528,-3.057324,0.847412,0.000108,-0.435950,0.000029
-6.127679,-3.475712,0.872547,0.000113,-0.429823,0.000026
-6.880165,-3.084556,0.860060,0.000082,-0.432422,0.000020
-5.531161,-3.765525,0.885442,0.000092,-0.427165,0.000021
-4.883414,-2.758551,0.844666,0.000074,-0.436634,0.000021
-6.067522,-2.532560,0.853050,0.000050,-0.434060,0.000014
