lmin,lmax,const,const_err,log_t,log_t_err
-11.592972,-9.809605,-3.139908,0.000236,-0.489081,0.000023
-11.313249,-8.768192,-3.159693,0.000160,-0.490897,0.000017
-12.448876,-10.521105,-3.160975,0.000368,-0.491015,0.000033
-13.137637,-9.368677,-3.178768,0.000134,-0.492657,0.000013
-11.250023,-8.404333,-3.151791,0.000102,-0.490102,0.000011
-11.247197,-10.219200,-3.083660,0.000418,-0.483909,0.000039
-12.662175,-10.210238,-3.140034,0.000250,-0.489211,0.000023
-12.812651,-8.710086,-3.161365,0.000109,-0.491065,0.000011
-11.185544,-10.004926,-3.121275,0.000377,-0.487379,0.000036
-13.148605,-9.092091,-3.161466,0.000135,-0.491062,0.000013
-12.193621,-10.634373,-3.164805,0.000521,-0.491340,0.000046
-12.591021,-8.201679,-3.158276,0.000066,-0.490772,0.000007
-11.642334,-8.778571,-3.157226,0.000147,-0.490635,0.000015
-11.568658,-10.550856,-3.099184,0.000580,-0.485333,0.000053
-12.257479,-8.399563,-3.153544,0.000084,-0.490295,0.000009
-11.785812,-9.762928,-3.146015,0.000208,-0.489653,0.000020
-13.985391,-10.878879,-3.218512,0.000540,-0.495943,0.000046
-12.889979,-8.283381,-3.156166,0.000069,-0.490564,0.000007
-11.063566,-10.265300,-3.070418,0.000530,-0.482642,0.000050
-13.096191,-9.057258,-3.156832,0.000143,-0.490631,0.000014
-13.718792,-9.703486,-3.167463,0.000160,-0.491676,0.000015
-13.074924,-10.226558,-3.144210,0.000227,-0.489596,0.000020
-11.288825,-9.978706,-3.125164,0.000324,-0.487748,0.000031
-13.198933,-10.944874,-3.192190,0.000344,-0.493626,0.000029
-13.860116,-8.848343,-3.161472,0.000121,-0.491110,0.000012
-12.358091,-10.580290,-3.162634,0.000425,-0.491158,0.000038
-12.239692,-9.211196,-3.176021,0.000142,-0.492428,0.000014
-13.886221,-10.136942,-3.162487,0.000259,-0.491276,0.000023
-11.165728,-8.289924,-3.154128,0.000091,-0.490339,0.000010
-12.848161,-10.755716,-3.178785,0.000371,-0.492532,0.000032
-12.478816,-10.307237,-3.144326,0.000290,-0.489572,0.000026
-11.628166,-9.777176,-3.142221,0.000223,-0.489295,0.000021
-12.988214,-8.556364,-3.156971,0.000092,-0.490640,0.000010
-12.622192,-9.832747,-3.152963,0.000169,-0.490350,0.000016
-13.162970,-9.440578,-3.179443,0.000146,-0.492718,0.000014
-11.165411,-9.031735,-3.147816,0.000230,-0.489718,0.000024
-12.798604,-8.193157,-3.158535,0.000064,-0.490800,0.000007
-13.855451,-10.725273,-3.192532,0.000415,-0.493764,0.000036
-11.153453,-8.632672,-3.159029,0.000141,-0.490831,0.000015
-12.645216,-10.722163,-3.173271,0.000425,-0.492067,0.000037
-12.207639,-8.694984,-3.160996,0.000117,-0.491026,0.000012
-12.902851,-8.383430,-3.154260,0.000077,-0.490375,0.000008
-13.758924,-8.753122,-3.163240,0.000108,-0.491265,0.000011
-12.135833,-10.985958,-3.228513,0.000666,-0.496825,0.000058
-12.357839,-8.836494,-3.157582,0.000134,-0.490698,0.000014
-13.631880,-9.269346,-3.177899,0.000118,-0.492584,0.000012
-13.931767,-9.870873,-3.166133,0.000202,-0.491604,0.000019
-11.865508,-10.781670,-3.160889,0.000709,-0.490891,0.000063
-13.103867,-8.374505,-3.154503,0.000075,-0.490401,0.000008
-11.644192,-9.578638,-3.178601,0.000260,-0.492677,0.000025
