lmin,lmax,const,const_err,log_t,log_t_err
-5.115552,-2.464380,0.316324,0.000048,-0.462080,0.000014
-6.271863,-2.851061,0.328478,0.000054,-0.458873,0.000014
-6.036111,-3.852645,0.343044,0.000111,-0.455654,0.000024
-5.857543,-2.916950,0.332105,0.000057,-0.458021,0.000015
-6.985350,-3.488873,0.334962,0.000058,-0.457446,0.000013
-4.632775,-2.070104,0.331873,0.000045,-0.457915,0.000015
-5.141279,-1.423175,0.288383,0.000060,-0.471467,0.000024
-4.517797,-2.492489,0.308855,0.000051,-0.464465,0.000016
-5.426467,-3.913336,0.353114,0.000144,-0.453338,0.000032
-4.847116,-2.342947,0.321148,0.000052,-0.460941,0.000016
-6.748666,-1.687844,0.319791,0.000038,-0.461245,0.000013
-4.969391,-2.906051,0.326875,0.000071,-0.459513,0.000019
-4.994186,-3.983053,0.352444,0.000251,-0.453545,0.000057
-5.923062,-3.764508,0.344249,0.000097,-0.455359,0.000022
-6.108865,-3.213992,0.340314,0.000056,-0.456214,0.000014
-6.049595,-3.438420,0.337345,0.000064,-0.456833,0.000015
-5.103318,-2.835477,0.324149,0.000069,-0.460111,0.000019
-4.977832,-3.079372,0.338189,0.000067,-0.456730,0.000018
-4.758671,-1.191435,0.267495,0.000052,-0.479142,0.000023
-5.731889,-3.289436,0.340872,0.000064,-0.455998,0.000015
-6.724301,-2.104078,0.331789,0.000034,-0.457902,0.000011
-5.804154,-1.767554,0.325882,0.000032,-0.459554,0.000011
-6.551617,-1.098181,0.270597,0.000047,-0.476391,0.000021
-6.276373,-3.949324,0.339435,0.000125,-0.456461,0.000026
-6.230187,-3.238776,0.338967,0.000055,-0.456530,0.000013
-4.438929,-1.522901,0.295107,0.000060,-0.469937,0.000025
-6.579030,-1.219098,0.278312,0.000051,-0.473829,0.000022
-4.075025,-2.128409,0.332800,0.000060,-0.457451,0.000021
-6.883844,-3.485954,0.335243,0.000058,-0.457376,0.000013
-6.842759,-3.426166,0.334679,0.000055,-0.457484,0.000013
-4.495103,-2.311926,0.321726,0.000057,-0.460833,0.000019
-5.257172,-1.142270,0.267996,0.000050,-0.478256,0.000022
-5.583532,-1.535379,0.303245,0.000053,-0.466400,0.000020
-4.779395,-2.271780,0.324380,0.000052,-0.460085,0.000017
-5.541061,-3.511380,0.342438,0.000079,-0.455610,0.000019
-4.295640,-2.396682,0.315891,0.000065,-0.462557,0.000021
-5.179369,-1.516938,0.299291,0.000056,-0.467898,0.000022
-4.984436,-3.472533,0.335392,0.000095,-0.457374,0.000023
-6.831242,-1.658876,0.317329,0.000040,-0.461941,0.000014
-5.076064,-3.464025,0.336586,0.000090,-0.457055,0.000022
-6.682736,-1.491536,0.300781,0.000053,-0.466810,0.000020
-6.892266,-2.593409,0.321756,0.000043,-0.460387,0.000012
-6.120697,-2.306737,0.326021,0.000041,-0.459366,0.000012
-4.905253,-1.515298,0.297340,0.000057,-0.468769,0.000023
-5.372645,-1.573865,0.306709,0.000051,-0.465437,0.000019
-6.098004,-2.238972,0.328374,0.000040,-0.458764,0.000012
-5.487719,-1.302145,0.280201,0.000056,-0.473841,0.000023
-4.942563,-2.365125,0.321180,0.000053,-0.460875,0.000016
-5.340651,-2.175257,0.330213,0.000043,-0.458299,0.000014
-5.695107,-1.697860,0.319851,0.000040,-0.461330,0.000014
