lmin,lmax,const,const_err,log_t,log_t_err
-0.692972,1.657144,3.916513,0.000007,-0.199151,0.000007
0.775764,2.617153,3.920614,0.000006,-0.202494,0.000003
-0.991303,2.933449,3.916192,0.000006,-0.200000,0.000003
0.457980,3.010514,3.917124,0.000008,-0.200336,0.000003
0.064764,2.827929,3.918240,0.000007,-0.201027,0.000003
-0.065792,2.607340,3.919353,0.000005,-0.201905,0.000003
0.833265,1.730978,3.921088,0.000016,-0.202626,0.000011
0.163581,3.728675,3.913456,0.000006,-0.198278,0.000002
-0.128643,1.916441,3.918582,0.000007,-0.201106,0.000005
-0.699765,3.430546,3.914430,0.000007,-0.198741,0.000003
-0.003810,2.495056,3.919786,0.000005,-0.202200,0.000003
0.526483,2.172096,3.921009,0.000007,-0.202818,0.000004
-0.155492,1.887437,3.918384,0.000007,-0.200911,0.000005
0.233502,2.509001,3.920285,0.000005,-0.202439,0.000003
-0.986770,3.804234,3.913860,0.000005,-0.198452,0.000002
0.709423,3.194605,3.915228,0.000008,-0.199361,0.000003
-0.726056,3.903338,3.914480,0.000005,-0.198723,0.000002
0.726289,3.543587,3.912470,0.000008,-0.197995,0.000003
1.025255,1.556800,3.927056,0.000019,-0.207342,0.000014
-0.126778,3.603565,3.913924,0.000007,-0.198466,0.000002
-0.161556,3.934440,3.914681,0.000006,-0.198807,0.000002
-0.552201,3.887352,3.914410,0.000005,-0.198688,0.000002
0.402390,2.297817,3.920892,0.000006,-0.202802,0.000003
-0.133531,2.117763,3.919002,0.000007,-0.201605,0.000004
-0.764210,3.723338,3.913756,0.000006,-0.198373,0.000002
0.434442,2.436453,3.920930,0.000005,-0.202818,0.000003
-0.838185,2.670171,3.917271,0.000006,-0.200771,0.000003
-0.196899,3.574873,3.914029,0.000007,-0.198517,0.000002
0.494128,1.972790,3.920767,0.000008,-0.202633,0.000006
-0.424091,3.928183,3.914622,0.000005,-0.198784,0.000002
0.445329,3.458481,3.913519,0.000008,-0.198389,0.000003
1.353305,3.576601,3.908826,0.000007,-0.196784,0.000003
0.381695,3.752889,3.913224,0.000006,-0.198220,0.000002
0.183782,3.504212,3.913870,0.000007,-0.198486,0.000003
0.229213,3.349425,3.914615,0.000008,-0.198885,0.000003
-0.630761,3.079364,3.916274,0.000006,-0.199890,0.000003
0.842073,2.307459,3.922182,0.000007,-0.203495,0.000004
0.663536,3.355177,3.913603,0.000009,-0.198513,0.000003
-0.943555,2.551925,3.917192,0.000007,-0.200829,0.000004
-0.373685,2.479047,3.918678,0.000006,-0.201631,0.000003
1.366315,3.393716,3.909061,0.000009,-0.196895,0.000003
1.478826,3.168504,3.910948,0.000010,-0.197808,0.000004
-0.316877,3.760555,3.913899,0.000006,-0.198443,0.000002
1.311472,3.741008,3.909482,0.000007,-0.197025,0.000002
-0.006932,3.596930,3.913884,0.000007,-0.198457,0.000002
0.124239,3.997131,3.914730,0.000006,-0.198843,0.000002
-0.471538,2.522374,3.918337,0.000006,-0.201429,0.000003
0.118373,2.993132,3.917408,0.000007,-0.200477,0.000003
-0.709249,1.972563,3.917036,0.000008,-0.200126,0.000006
-0.984832,2.541013,3.917048,0.000007,-0.200750,0.000004
