lmin,lmax,const,const_err,log_t,log_t_err
-8.201127,-4.280943,-0.790164,0.000024,-0.482711,0.000005
-8.130809,-6.163914,-0.792049,0.000065,-0.483352,0.000009
-7.515140,-5.273784,-0.833692,0.000057,-0.489546,0.000009
-8.905652,-5.139932,-0.806121,0.000051,-0.485120,0.000008
-7.729683,-6.485231,-0.816884,0.000096,-0.486968,0.000014
-7.884879,-6.488702,-0.809704,0.000092,-0.485916,0.000013
-7.419582,-4.828356,-0.795303,0.000052,-0.483498,0.000009
-7.298522,-4.331714,-0.788064,0.000029,-0.482282,0.000006
-7.518769,-6.366441,-0.818615,0.000091,-0.487274,0.000013
-7.379403,-5.552561,-0.841037,0.000072,-0.490704,0.000012
-8.482848,-5.868657,-0.791996,0.000044,-0.483261,0.000007
-8.819914,-6.185690,-0.784427,0.000057,-0.482216,0.000008
-7.768700,-6.173541,-0.803932,0.000060,-0.485149,0.000009
-8.043678,-6.038536,-0.799865,0.000052,-0.484490,0.000008
-7.783260,-4.299912,-0.790595,0.000026,-0.482791,0.000005
-6.730898,-4.973290,-0.786117,0.000086,-0.481782,0.000015
-7.352482,-4.268905,-0.788120,0.000027,-0.482301,0.000005
-6.609673,-5.579783,-0.875633,0.000117,-0.496592,0.000019
-8.343338,-4.385915,-0.790773,0.000027,-0.482809,0.000005
-8.650690,-5.702227,-0.802920,0.000052,-0.484765,0.000008
-8.087748,-4.574210,-0.787160,0.000034,-0.482227,0.000006
-7.307659,-6.095685,-0.798966,0.000063,-0.484370,0.000010
-8.724320,-5.622024,-0.809917,0.000057,-0.485737,0.000009
-8.307476,-6.374966,-0.787052,0.000089,-0.482612,0.000013
-8.419773,-5.684087,-0.806888,0.000055,-0.485364,0.000008
-6.654741,-4.468284,-0.779606,0.000042,-0.480653,0.000008
-8.906650,-4.678739,-0.791093,0.000034,-0.482853,0.000006
-7.408200,-6.121978,-0.804750,0.000070,-0.485264,0.000011
-7.219373,-6.480899,-0.814693,0.000146,-0.486634,0.000021
-7.631060,-5.971747,-0.808860,0.000050,-0.485870,0.000008
-7.245066,-6.204099,-0.795905,0.000082,-0.483904,0.000012
-8.321662,-4.826900,-0.795711,0.000042,-0.483576,0.000007
-7.941951,-4.203063,-0.790414,0.000023,-0.482767,0.000004
-8.883748,-4.982762,-0.796774,0.000047,-0.483724,0.000008
-7.517469,-4.002823,-0.806468,0.000028,-0.485583,0.000006
-8.384412,-5.897033,-0.792427,0.000047,-0.483332,0.000007
-7.066833,-6.223853,-0.789841,0.000101,-0.482953,0.000015
-7.902739,-6.469351,-0.807969,0.000089,-0.485671,0.000013
-8.420753,-5.501243,-0.823018,0.000060,-0.487673,0.000009
-6.525716,-5.942961,-0.813497,0.000153,-0.486693,0.000025
-7.970924,-4.675999,-0.791594,0.000038,-0.482951,0.000007
-7.128913,-5.639168,-0.834680,0.000085,-0.489787,0.000014
-6.892746,-5.301160,-0.842466,0.000079,-0.491012,0.000013
-7.103036,-6.170727,-0.790952,0.000091,-0.483142,0.000014
-6.693030,-5.465765,-0.876422,0.000091,-0.496637,0.000015
-8.903911,-5.564100,-0.814911,0.000058,-0.486433,0.000009
-7.574725,-4.947560,-0.796825,0.000059,-0.483771,0.000010
-7.069523,-4.734950,-0.787262,0.000051,-0.482070,0.000009
-8.082873,-4.789962,-0.795903,0.000042,-0.483630,0.000007
-7.464827,-4.966911,-0.796917,0.000062,-0.483768,0.000011
