lmin,lmax,const,const_err,log_t,log_t_err
-3.537294,-0.091062,2.948179,0.000009,-0.275768,0.000007
-3.947148,0.976202,2.945293,0.000003,-0.277573,0.000003
-1.633324,-0.582282,2.953559,0.000010,-0.273425,0.000010
-3.876007,-0.340287,2.951953,0.000011,-0.273323,0.000007
-2.233495,0.043135,2.946166,0.000006,-0.278683,0.000006
-3.836305,-1.150227,2.958295,0.000016,-0.270322,0.000008
-2.707985,0.360730,2.945354,0.000004,-0.278742,0.000004
-2.644962,-1.137174,2.953754,0.000011,-0.273097,0.000006
-3.951519,-0.066334,2.948630,0.000009,-0.275061,0.000007
-3.423579,-0.582862,2.954946,0.000006,-0.272149,0.000004
-2.040626,-1.172205,2.953172,0.000017,-0.273403,0.000011
-3.704321,0.398092,2.945786,0.000005,-0.277189,0.000005
-3.382751,-1.428679,2.957590,0.000018,-0.270988,0.000008
-3.356610,0.937871,2.945576,0.000003,-0.277939,0.000003
-3.415830,-0.825706,2.956126,0.000007,-0.271569,0.000004
-3.142975,0.254563,2.945836,0.000005,-0.277790,0.000005
-2.135272,-1.355818,2.951273,0.000020,-0.274573,0.000012
-2.584892,0.568166,2.945943,0.000003,-0.278285,0.000004
-3.672728,0.891767,2.945736,0.000003,-0.277379,0.000003
-2.950699,-1.292480,2.954698,0.000013,-0.272482,0.000007
-3.502494,-1.352286,2.957702,0.000017,-0.270854,0.000008
-2.345907,0.802885,2.946295,0.000002,-0.278121,0.000003
-2.994144,-0.532934,2.953622,0.000007,-0.273089,0.000005
-1.785554,-1.249898,2.949498,0.000024,-0.275780,0.000016
-1.539091,-1.135245,2.959034,0.000042,-0.268988,0.000032
-1.733632,-1.149135,2.953855,0.000029,-0.272987,0.000021
-2.520596,-1.074797,2.953779,0.000010,-0.273114,0.000006
-2.581229,-0.736055,2.955086,0.000006,-0.272394,0.000004
-3.009108,0.023894,2.947162,0.000007,-0.276976,0.000006
-2.907909,0.867053,2.945998,0.000002,-0.277911,0.000003
-2.098935,-1.223098,2.951210,0.000016,-0.274594,0.000010
-3.289870,-0.519371,2.953882,0.000007,-0.272783,0.000005
-3.726588,0.109299,2.947134,0.000007,-0.276228,0.000006
-2.892112,-0.747239,2.955389,0.000006,-0.272155,0.000004
-2.800851,0.568764,2.945963,0.000003,-0.278029,0.000004
-2.809810,-1.449966,2.954565,0.000017,-0.272650,0.000008
-2.017328,-0.049330,2.945972,0.000007,-0.279156,0.000008
-3.958538,-1.039303,2.958405,0.000015,-0.270164,0.000008
-2.921085,0.885001,2.945898,0.000002,-0.278028,0.000003
-2.148079,0.054607,2.945983,0.000006,-0.278981,0.000006
-3.622280,-0.837217,2.956709,0.000009,-0.271165,0.000005
-1.549304,-0.183974,2.945369,0.000009,-0.280882,0.000011
-1.812837,-1.025291,2.954934,0.000016,-0.272274,0.000012
-1.649794,-0.039170,2.945232,0.000006,-0.280728,0.000008
-2.115195,0.411699,2.945240,0.000003,-0.279708,0.000004
-3.851318,0.665366,2.946232,0.000003,-0.276658,0.000004
-1.522362,0.669982,2.946303,0.000003,-0.279051,0.000004
-2.350061,0.992149,2.945655,0.000002,-0.279170,0.000003
-2.986302,-0.142182,2.947871,0.000008,-0.276526,0.000007
-1.695304,-1.203281,2.951570,0.000034,-0.274458,0.000024
