beta,dt,Nsimstotal,nu,nu_err,const,const_err
0.1,5e-9,1200,-0.497484,0.076981,-0.862977,0.734313
0.5,1e-8,1368,-0.477563,0.041535,0.293905,0.404374
1.0,5e-8,1224,-0.434745,0.041437,1.213948,0.329958
1.5,5e-8,1048,-0.375584,0.031025,2.046702,0.221527
2.0,5e-8,1145,-0.317257,0.017324,2.739731,0.145119
4.0,3e-6,999,-0.192116,0.004698,4.342150,0.049841
